Condition Name,About,symptoms,Causes,Diagnosis
Abdominal aortic aneurysm," An abdominal aortic aneurysm (AAA) is a swelling (aneurysm) of the aorta – the main blood vessel that leads away from the heart, down through the abdomen to the rest of the body. The abdominal aorta is the largest blood vessel in the body and is usually around 2cm wide – roughly the width of a garden hose. However, it can swell to over 5.5cm – what doctors class as a large AAA. Large aneurysms are rare, but can be very serious. If a large aneurysm bursts, it causes huge internal bleeding and is usually fatal. The bulging occurs when the wall of the aorta weakens. Although what causes this weakness is unclear, smoking and high blood pressure are thought to increase the risk of an aneurysm. AAAs are most common in men aged over 65. A rupture accounts for more than 1 in 50 of all deaths in this group. This is why all men are invited for a screening test when they turn 65. The test involves a simple ultrasound scan, which takes around 10-15 minutes. Because AAAs usually cause no symptoms, they tend to be diagnosed either as a result of screening or during a routine examination – for example, if a GP notices a pulsating sensation in your abdomen. The screening test is an ultrasound scan, which allows the size of your abdominal aorta to be measured on a monitor. This is also how an aneurysm will be diagnosed if your doctor suspects you have one. If a large AAA is detected before it ruptures, most people will be advised to have treatment, to prevent it rupturing. This is usually done with surgery to replace the weakened section of the blood vessel with a piece of synthetic tubing. If surgery is not advisable – or if you decide not to have it – there are a number of non-surgical treatments that can reduce the risk of an aneurysm rupturing. They include medications to lower your cholesterol and blood pressure, and quitting smoking. You will also have the size of your aneurysm checked regularly with ultrasound scanning. The best way to prevent getting an aneurysm – or reduce the risk of an aneurysm growing bigger and possibly rupturing – is to avoid anything that could damage your blood vessels, such as: Read more about screening for an AAA.                                                                                          Source: NHS 24 Last updated:
04 October 2024   © 2025 NHS 24 – v1.1.1.17852 ","In most cases, an AAA causes no noticeable symptoms. However, if it becomes large, some people may develop a pain or a pulsating feeling in their abdomen (tummy) or persistent back pain. An AAA doesn’t usually pose a serious threat to health, but there’s a risk that a larger aneurysm could burst (rupture). A ruptured aneurysm can cause massive internal bleeding, which is usually fatal. Around 8 out of 10 people with a rupture either die before they reach hospital or don’t survive surgery. The most common symptom of a ruptured aortic aneurysm is sudden and severe pain in the abdomen. If you suspect that you or someone else has had a ruptured aneurysm, call 999 immediately and ask for an ambulance. ","It’s not known exactly what causes the aortic wall to weaken, although increasing age and being male are known to be the biggest risk factors. There are other risk factors you can do something about, including smoking and having high blood pressure and cholesterol level. Having a family history of aortic aneurysms also means that you have an increased risk of developing one yourself. ",
Achilles tendinopathy," This information is useful for those who have been diagnosed with an Achilles tendinopathy. People who are experiencing new or ongoing symptoms should contact a healthcare professional for assessment and diagnosis. Read more about self-managing ankle problems Achilles tendinopathy, sometimes known as tendinitis, is a condition that can cause pain, stiffness and swelling of the Achilles tendon. This is a tendon connecting your calf muscle to your heel. Managing Achilles tendinopathy can take time, in most cases several months or more. Learn about exercises for foot conditions To help manage the pain you can take painkillers. Read more about taking painkillers Achilles tendinopathy does not improve with rest, so, to help your recovery it’s important to keep up as much of your normal daily activity as you can. You may have to modify what you do, by taking breaks, doing less or changing activity. When you see a Healthcare Professional they will give guidance on what exercise levels you should be aiming for. If you’re waiting to see a Healthcare Professional you should be trying to do some exercise, this may cause some discomfort and short term pain that returns back to your normal level within a few hours. Following this advice, you should see gradual improvements over time. If your symptoms haven’t improved within 12 weeks, or it’s got worse, after following this advice, it’s a good idea to talk to a healthcare professional about your symptoms. Find out how to access MSK services in your area. When dealing with any health condition it’s important to also look after your mental wellbeing as this can impact your recovery. Source: MSK Expert Panel Last updated:
25 November 2024   © 2025 NHS 24 – v1.1.1.17852 ",Symptoms may vary from person to person. They can appear gradually or suddenly. People may experience: People can have one or multiple symptoms. ,"Achilles tendinopathy can occur in both active and inactive people. The causes can be varied but there are some common factors that are important.

These can include: ",
Acne," Acne is a common skin condition that affects most people at some point. It causes spots, oily skin and sometimes skin that’s hot or painful to touch. Acne most commonly develops on the: There are 6 main types of spot caused by acne: The self-help techniques below may be useful: Although acne can’t be cured, it can be controlled with treatment. Several creams, lotions and gels for treating spots are available at pharmacies. If you develop acne, it’s a good idea to speak to your pharmacist for advice. Treatments can take up to 3 months to work, so don’t expect results overnight. Once they do start to work, the results are usually good. If you have acne you can get advice and treatment directly from a pharmacy. Find your local pharmacy on Scotland’s Service Directory. Acne isn’t usually serious and can be treated by a pharmacist. If your acne is severe or appears on your chest and back, it may need to be treated with antibiotics or stronger creams that are only available on prescription. Your pharmacist can advise on whether you need to see your GP for further treatment. If you develop nodules or cysts, they need to be treated properly through your GP to avoid scarring. Try to resist the temptation to pick or squeeze the spots, as this can lead to permanent scarring. Acne is most commonly linked to the changes in hormone levels during puberty, but can start at any age. Certain hormones cause the grease-producing glands next to hair follicles in the skin to produce larger amounts of oil (abnormal sebum). This abnormal sebum changes the activity of a usually harmless skin bacterium called P. acnes, which becomes more aggressive and causes inflammation and pus. The hormones also thicken the inner lining of the hair follicle, causing blockage of the pores (opening of the hair follicles). Cleaning the skin doesn’t help to remove this blockage. Acne is known to run in families. If both your mother and father had acne, it’s likely that you’ll also have acne. Hormonal changes, such as those that occur during the menstrual cycle or pregnancy, can also lead to episodes of acne in women. There’s no evidence that diet, poor hygiene or sexual activity play a role in acne. Read more about the causes of acne, including some common acne myths. Acne is very common in teenagers and younger adults. About 80% of people aged 11 to 30 are affected by acne. Acne is most common in girls from the ages of 14 to 17, and in boys from the ages of 16 to 19. Most people have acne on and off for several years before their symptoms start to improve as they get older. Acne often disappears when a person is in their mid-twenties. In some cases, acne can continue into adult life. About 5% of women and 1% of men have acne over the age of 25. You can find support and information from organisations like:                                                                                                              Source: NHS 24 Last updated:
17 October 2024   © 2025 NHS 24 – v1.1.1.17852 ",,,
Acute cholecystitis," Acute cholecystitis is swelling (inflammation) of the gallbladder. It is a potentially serious condition that usually needs to be treated in hospital. The main symptom of acute cholecystitis is a sudden sharp pain in the upper right side of your tummy (abdomen) that spreads towards your right shoulder. The affected part of the abdomen is usually extremely tender, and breathing deeply can make the pain worse. Unlike some others types of abdominal pain, the pain associated with acute cholecystitis is usually persistent, and doesn’t go away within a few hours. Some people may additional symptoms, such as: If your GP practice is closed, phone 111. It’s important for acute cholecystitis to be diagnosed as soon as possible, because there is a risk that serious complications could develop if the condition is not treated promptly. Acute cholecystitis is a relatively common complication of gallstones. It’s estimated that around 10% to 15% of adults in the UK have gallstones. These don’t usually cause any symptoms, but in a small proportion of people they can cause infrequent episodes of pain (known as biliary colic) or acute cholecystitis. To diagnose acute cholecystitis, your GP will examine your abdomen. They will probably carry out a simple test called Murphy’s sign. You will be asked to breathe in deeply with your GP’s hand pressed on your tummy, just below your rib cage. Your gallbladder will move downwards as your breathe in and, if you have cholecystitis, you will experience sudden pain as your gallbladder reaches your doctor’s hand. If your symptoms suggest you have acute cholecystitis, your GP will refer you to hospital immediately for further tests and treatment. Tests you may have in hospital include: Other scans – such as an X-ray, a computerised tomography (CT) scan or a magnetic resonance imaging (MRI) scan – may also be carried out to examine your gallbladder in more detail if there is any uncertainty about your diagnosis. If you are diagnosed with acute cholecystitis, you will probably need to be admitted to hospital for treatment. Initial treatment will usually involve: If you have a suspected infection, you will also be given antibiotics. These often need to be continued for up to a week, during which time you may need to stay in hospital or you may be able to go home. With this initial treatment, any gallstones that may have caused the condition usually fall back into the gallbladder and the inflammation often settles down. In order to prevent acute cholecystitis recurring, and reduce your risk of developing potentially serious complications, the removal of your gallbladder will often be recommended at some point after the initial treatment. This type of surgery is known as a cholecystectomy. Although uncommon, an alternative procedure called a percutaneous cholecystostomy may be carried out if you are too unwell to have surgery. This is where a needle is inserted through your abdomen to drain away the fluid that has built up in the gallbladder. If you are fit enough to have surgery, your doctors will need to decide when the best time to remove your gallbladder may be. In some cases, you may need to have surgery immediately or in the next day or 2, while in other cases you may be advised to wait for the inflammation to fully resolve over the next few weeks. Surgery can be carried out in two main ways: Although some people who have had their gallbladder removed have reported symptoms of bloating and diarrhoea after eating certain foods, you can lead a perfectly normal life without a gallbladder. The organ can be useful but it’s not essential, as your liver will still produce bile to digest food. Without appropriate treatment, acute cholecystitis can sometimes lead to potentially life-threatening complications. The main complications of acute cholecystitis are: In about 1 in every 5 cases of acute cholecystitis, emergency surgery to remove the gallbladder is needed to treat these complications. It’s not always possible to prevent acute cholecystitis, but you can reduce your risk of developing the condition by cutting your risk of gallstones. One of the main steps you can take to help lower your chances of developing gallstones is adopting a healthy, balanced diet and reducing the number of high-cholesterol foods you eat, as cholesterol is thought to contribute to the formation of gallstones. Being overweight, particularly being obese, also increases your risk of developing gallstones. You should therefore control your weight by eating a healthy diet and exercising regularly. However, low-calorie, rapid weight loss diets should be avoided, because there is evidence they can disrupt your bile chemistry and actually increase your risk of developing gallstones. A more gradual weight loss plan is best. Read more about preventing gallstones. Source: NHS 24 Last updated:
29 May 2023   © 2025 NHS 24 – v1.1.1.17852 ",,"The causes of acute cholecystitis can be grouped into 2 main categories: calculous cholecystitis and acalculous cholecystitis. Calculous cholecystitis is the most common, and usually less serious, type of acute cholecystitis. It accounts for around 95% of all cases. Calculous cholecystitis develops when the main opening to the gallbladder, called the cystic duct, gets blocked by a gallstone or by a substance known as biliary sludge. Biliary sludge is a mixture of bile (a liquid produced by the liver that helps digest fats) and small crystals of cholesterol and salt. The blockage in the cystic duct results in a build-up of bile in the gallbladder, increasing the pressure inside it and causing it to become inflamed. In around 1 in every 5 cases, the inflamed gallbladder also becomes infected by bacteria. Acalculous cholecystitis is a less common, but usually more serious, type of acute cholecystitis. It usually develops as a complication of a serious illness, infection or injury that damages the gallbladder. Acalculous cholecystitis is often associated with problems such as accidental damage to the gallbladder during major surgery, serious injuries or burns, blood poisoning (sepsis), severe malnutrition or AIDS. ",
Acute lymphoblastic leukaemia," Leukaemia is cancer of the white blood cells. Acute leukaemia means the condition progresses rapidly and aggressively and requires immediate treatment. Acute leukaemia is classified according to the type of white blood cells affected by cancer. There are 2 main types: These pages focus on acute lymphoblastic leukaemia, which is cancer of the lymphocytes. The following other types of leukaemia are covered elsewhere: Symptoms of acute lymphoblastic leukaemia usually begin slowly before rapidly getting severe as the number of immature white blood cells in your blood increases. Symptoms include: Read more about the symptoms of acute lymphoblastic leukaemia All of the blood cells in the body are produced by bone marrow – a spongy material found inside bones. Bone marrow produces specialised cells called stem cells which have the ability to develop into three important types of blood cells: The bone marrow usually produces stem cells which are allowed to fully develop before being released into the blood. But in acute leukaemia, bone marrow starts releasing large numbers of immature white blood cells known as blast cells. As the number of blast cells increases there is a drop in the number of red blood cells and platelet cells. This drop causes the symptoms of anaemia, such as tiredness, and increases the risk of excessive bleeding. Also, blast cells are less effective than mature white blood cells at fighting bacteria and viruses, making you more vulnerable to infection. Despite being uncommon overall, acute lymphoblastic leukaemia is the most common type of cancer to affect children. The cause or causes of acute leukaemia are uncertain, but known risk factors include: Read more information about the causes of acute lymphoblastic leukaemia                                                                                              Source: NHS 24 Last updated:
14 October 2024   © 2025 NHS 24 – v1.1.1.17852 ",,,
Acute lymphoblastic leukaemia: Children," Acute lymphoblastic leukaemia (ALL) is a type of blood cancer. One third of all childhood cancers are leukaemia. Approximately, 3 out of 4 of these are acute lymphoblastic (ALL). ALL can affect children of any age but is more common in children aged 1 to 4 years old. More children than ever are surviving childhood cancer. There are new and better drugs and treatments, and we can now also work to reduce the after-effects of having had cancer in the past. It’s devastating to hear that your child has cancer. At times it can feel overwhelming but there are many healthcare professionals and support organisations to help you through this difficult time. Understanding more about the cancer your child has and the treatments that may be used can often help parents to cope. Your child’s specialist will give you more detailed information, and if you have any questions it’s important to ask the specialist doctor or nurse who knows your child’s individual situation. Leukaemia is a cancer of the white blood cells. All blood cells are made in the bone marrow, the spongy substance at the core of some bones in the body. Bone marrow contains: There are 2 different types of white blood cells: lymphocytes and myeloid cells (including neutrophils). These white blood cells work together to fight infection. Normally, white blood cells develop, repair and reproduce themselves in an orderly and controlled way. In leukaemia, however, the process gets out of control and the cells continue to divide in the bone marrow, but do not mature. These immature dividing cells fill up the bone marrow and stop it from making healthy blood cells. As the leukaemia cells are not mature, they cannot work properly. This leads to an increased risk of infection. There are 4 main types of leukaemia: Chronic leukaemias usually affect adults and each type of leukaemia has its own characteristics and treatment. ALL is a cancer of immature lymphocytes, called lymphoblasts or blast cells. There are two different types of lymphocytes; T-cells and B-cells. Often, leukaemia occurs at a very early stage in the immature lymphocytes, before they have developed into either T-cells or B-cells. However, if the cells have developed this far before becoming leukaemic, the type of leukaemia may be known as T-cell or B-cell leukaemia. This page is about acute lymphoblastic leukaemia (ALL). The aim of treatment for ALL is to destroy the leukaemia cells and enable the bone marrow to work normally again. Chemotherapy is the main treatment for ALL and is given according to a treatment plan (often called a protocol or regimen). The treatment is given in several phases, or ‘blocks’. This phase involves intensive treatment, aimed at destroying as many leukaemia cells as possible and is usually started within days of being diagnosed. The induction phase lasts 4 to 6 weeks. A bone marrow test is taken at the end of induction treatment to confirm whether or not the child still has leukaemia. The sample that is taken is looked at under a microscope and when there is no evidence of leukaemia, the child’s condition is referred to as being in ‘remission’. The next phase of treatment is aimed at maintaining the remission and preventing the spread of leukaemia cells into the brain and spinal cord (the central nervous system, or CNS). CNS treatment involves injecting a drug, usually methotrexate lumbar puncture. After this consolidation treatment there is a recovery period which is called interim maintenance. This is when more drugs will be given to try to keep the leukaemia in remission. The exact details will depend on which arm of treatment your child follows and will be discussed in detail by your child’s doctor as it depends on your child’s response to treatment so far. Further doses of chemotherapy treatment, called ‘delayed intensification’, are given to kill off any remaining leukaemia cells. This phase of treatment lasts for 2 years from the start of interim maintenance for girls and 3 years from the start of interim maintenance for boys. It involves the child taking daily and weekly tablets, some children also have monthly injections of chemotherapy and oral pulses of steroids and 3-monthly intrathecal treatment. Children will be able to take part in their normal daily activities as soon as they feel able to. Most children return to school before beginning maintenance treatment. Bone marrow treatment is only needed by a minority of patients and is used for children with ALL that is likely to come back following standard chemotherapy. In some situations, it may be necessary for boys to have radiotherapy to their testicles. This is because leukaemia cells can survive in the testicles despite chemotherapy. Children who have leukaemia cells in their CNS when they are first diagnosed with ALL need more frequent lumbar punctures with intrathecal chemotherapy. Your child’s specialist will discuss with you which treatment and how much of it your child needs, and will answer any questions you have. Many cancer treatments will cause side effects. This is because while the treatments are killing the cancer cells, they can also damage some normal cells. Some of the main side effects of chemotherapy are: Steroid medicines can also cause side effects such as: Most side effects are temporary, and there are ways of reducing them and supporting your child through them. Your child’s doctor or nurse will talk to you about any possible side effects. It’s important to discuss any side effects your child is having with the team treating them, so that they know how your child is feeling. A small number of children may develop late side effects, sometimes many years later. These include possible problems with puberty and fertility, a change in the way their heart works and a small increase in the risk of developing another cancer later in life. Your child’s doctor or nurse will talk to you about any possible late side effects. Many children have their treatment as part of a clinical research trial. Trials aim to improve our understanding of the best way to treat an illness, usually by comparing the standard treatment with a new or modified version. Specialist doctors carry out trials for ALL. If appropriate, your child’s medical team will talk to you about taking part in a clinical trial and will answer any questions you have. Written information is provided to help explain things. Taking part in a research trial is completely voluntary, and you’ll be given enough time to decide if it is right for your child. Sometimes, clinical trials are not available for your child. This may be because a recent trial has just finished, or because the condition is very rare. In these cases, you can expect your doctors and nurses to offer treatment which is agreed to be the most appropriate, using guidelines which have been prepared by experts across the UK. The Children’s Cancer and Leukaemia Group (CCLG) is an important organisation which helps to produce these guidelines. Most children with ALL are cured. If the leukaemia recurs after initial treatment, it usually does so within the first three years. Further treatment can then be given. Long-term side effects (late side effects) are rare, and most children with ALL grow and develop normally. If you have specific concerns about your child’s condition and treatment, it’s best to discuss them with your child’s doctor, who knows the situation in detail. As a parent, the fact that your child has cancer is one of the worst situations you can be faced with. You may have many emotions, such as fear, guilt, sadness, anger and uncertainty. These are all normal reactions and are part of the process that many parents go through at such a difficult time. Your child may have a variety of powerful emotions throughout their experience with cancer. Further information and advice if your child has cancer Source: Children's Cancer and Leukemia Group Last updated:
09 October 2024   © 2025 NHS 24 – v1.1.1.17852 ","As the leukaemia cells multiply in the bone marrow, the production of normal blood cells is reduced. Children may therefore become tired and lethargic because of anaemia, which is caused by a lack of red blood cells. Children may develop bruises, and bleeding may take longer to stop because of the low number of platelets present in their blood (which help blood to clot). Sometimes, children suffer from infections because of low numbers of normal white blood cells. A child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands. At first, the symptoms are just like those of a viral infection, but when they continue for more than a week or two, the diagnosis usually becomes clear. ","The exact cause of ALL is unknown. Research is going on all the time into possible causes of this disease. Children with certain genetic disorders, such as Down’s syndrome, are known to have a higher risk of developing leukaemia. Brothers and sisters of a child with ALL (particularly identical twins) have a slightly increased risk of developing ALL themselves, although this risk is still small. Like all cancers, ALL is not infectious and cannot be passed on to other people. ","A blood test usually shows low numbers of normal white blood cells and the presence of the abnormal leukaemia cells. A sample of bone marrow is usually needed to confirm the diagnosis. A sample is also sent to the genetics department to look for any abnormal chromosomes, and for a test called MRD (minimal residual disease) analysis. A test called a lumbar puncture is done to see if the spinal fluid contains any leukaemia cells. A chest X-ray is also done, which will show if there are any enlarged glands in the chest. Other tests may be necessary, depending on your child’s symptoms. These tests will help to identify the precise type of leukaemia and help doctors decide on the best treatment. "
Acute lymphoblastic leukaemia: Teenagers and young adults," This section is for teenagers and young adults and is about a type of cancer called acute lymphoblastic leukaemia (ALL). The other main type of leukaemia that can affect teenagers and young adults is acute myeloid leukaemia. If you’re looking for information about ALL in people of all ages, please see our general ALL section. Leukaemia is a cancer of the white blood cells. In leukaemia, the process for making new white blood cells gets out of control. Immature white blood cells (called blasts) keep being made and build up in the bone marrow until there isn’t enough room for the bone marrow to make healthy white blood cells, red blood cells and platelets. The body needs these cells to: If you think you have some of the symptoms of ALL you should speak to your GP. They can talk to you about your symptoms and arrange any tests they think you might need.                                                         Source: Macmillan Last updated:
09 October 2024   © 2025 NHS 24 – v1.1.1.17852 ","Many of the symptoms of ALL are caused by having fewer than normal healthy blood cells in the body. Symptoms can include: There can be other reasons you may have these symptoms. But if you are worried that you may have ALL, you should speak to your GP. They’ll examine you and refer you to a hospital if they think you need to see a specialist doctor. ","It’s not known exactly what causes ALL. Research is going on to try to find out. Young people with some genetic conditions, such as Down’s syndrome or Li-Fraumeni syndrome, are at an increased risk of developing ALL. A genetic condition is something you are born with. ",
Acute myeloid leukaemia," Leukaemia is cancer of the white blood cells. Acute leukaemia means it progresses rapidly and aggressively, and usually requires immediate treatment. Acute leukaemia is classified according to the type of white blood cells affected. The 2 main types of white blood cells are: This topic focuses on acute myeloid leukaemia (AML), which is an aggressive cancer of the myeloid cells. The following types of leukaemia are covered separately: You should see your GP if you or your child have possible symptoms of AML. Although it’s highly unlikely that leukaemia is the cause, these symptoms should be investigated. If your GP thinks you may have leukaemia, they’ll arrange blood tests to check your blood cell production. If the tests suggest there’s a problem, you’ll be urgently referred to a haematologist (a specialist in treating blood conditions) for further tests and any necessary treatment. Read more about diagnosing AML AML is a rare type of cancer. The risk of developing AML increases with age. It’s most common in people over 65. AML is an aggressive type of cancer that can develop rapidly, so treatment usually needs to begin soon after a diagnosis is confirmed. Chemotherapy is the main treatment for AML. It’s used to kill as many leukaemia cells in your body as possible and reduce the risk of the condition coming back (relapsing). In some cases, intensive chemotherapy and radiotherapy may be needed, in combination with a bone marrow or stem cell transplant, to achieve a cure. Read more about treating AML                                                                                             Source: NHS 24 Last updated:
14 October 2024   © 2025 NHS 24 – v1.1.1.17852 ","The symptoms of AML usually develop over a few weeks and become increasingly more severe. Symptoms can include: In more advanced cases, AML can make you extremely vulnerable to life-threatening infections or serious internal bleeding. Read more about the complications of AML ","AML occurs when specialised cells called stem cells, which are found in the bone marrow (a spongy material inside the bones), produce too many immature white blood cells. These immature cells are known as blast cells. Blast cells don’t have the infection-fighting properties of healthy white blood cells, and producing too many can lead to a decrease in the number of red blood cells (which carry oxygen in the blood) and platelets (cells that help the blood to clot). It’s not clear exactly why this happens and, in most cases, there’s no identifiable cause. However, a number of factors that can increase your risk of developing AML have been identified. These include: Read more about the causes of AML ",
Acute myeloid leukaemia: Children," Acute myeloid leukaemia (AML) is a type of blood cancer. A third of all childhood cancers are leukaemia. Less than a quarter of these are acute myeloid leukaemia (AML). AML can affect children of any age. Girls and boys are equally affected More children than ever are surviving childhood cancer. There are new and better drugs and treatments, and we can now also work to reduce the after-effects of having had cancer in the past. It’s devastating to hear that your child has cancer. At times it can feel overwhelming but there are many healthcare professionals and support organisations to help you through this difficult time. Understanding more about the cancer your child has and the treatments that may be used can often help parents to cope. Your child’s specialist will give you more detailed information and if you have any questions it’s important to ask the specialist doctor or nurse who knows your child’s individual situation. Leukaemia is a cancer of the white blood cells. All blood cells are produced in the bone marrow, the spongy substance at the core of some of the bones in the body. Bone marrow contains: There are 2 different types of white blood cells: lymphocytes and myeloid cells (including neutrophils). These white blood cells work together to fight infection. Normally, white blood cells develop, repair and reproduce themselves in an orderly and controlled way. In leukaemia, however, the process gets out of control and the cells continue to divide in the bone marrow, but do not mature. These immature dividing cells fill up the bone marrow and stop it from making healthy blood cells. As the leukaemia cells are not mature, they cannot work properly. This leads to an increased risk of infection. There are 4 main types of leukaemia: Chronic leukaemias occur mostly in adults. CLL is exclusively an adult condition, whereas CML does occur rarely in children and young people. Each type of leukaemia has its own characteristics and treatment. This page is about acute myeloid leukaemia (AML). Acute myeloid leukaemia is an overproduction of immature myeloid white blood cells (blast cells). Cells that have started to show some of the features of myeloid cells are said to show differentiation. Cells that do not show signs of becoming a particular type of white blood cell are known as undifferentiated. There are different sub-types of AML, depending on exactly which type of cell has become leukaemic, the stage of development (maturation) the cells are at, and whether the cells are differentiated. Knowing the sub-type of AML is important, as it helps doctors decide on the best treatment. There are several classification systems for the sub-types of AML. The most commonly used system in the UK is the French-American-British (FAB) system. A newer system known as the WHO (World Health Organization) classification system is also sometimes used. The aim of treatment for AML is to destroy the leukaemia cells and enable the bone marrow to work normally again. Chemotherapy is the main treatment for AML. Usually a combination of chemotherapy drugs is given, according to a treatment plan (often called a protocol or regimen). The treatment usually has different phases. This phase involves intensive treatment, aimed at destroying as many leukaemia cells as possible. It usually involves 2 courses (cycles) of a combination of chemotherapy drugs. A bone marrow test is taken at the end of induction treatment to confirm whether or not the child still has leukaemia. When there is no evidence of leukaemia, the child’s condition is referred to as being in remission. When there are no signs of the leukaemia in the blood or bone marrow, further treatment is often given. This phase of the treatment aims to destroy any leukaemia cells that may be left and to help stop the AML from coming back. This treatment usually involves 2 more courses of chemotherapy. This treatment is usually only used for children with AML that is likely to come back or has come back (recurred) following standard chemotherapy. AML may sometimes develop in the brain and spinal cord. This can be prevented by injecting chemotherapy drugs directly into the spinal fluid during a lumbar puncture (intrathecal chemotherapy). Intrathecal chemotherapy is usually given after each of the first 2 courses of chemotherapy. Sometimes a more intensive treatment is needed, and the intrathecal drugs are given more frequently until all the regular chemotherapy has been completed. Occasionally, radiotherapy to the brain is also necessary. Many cancer treatments will cause side effects. This is because while the treatments are killing the cancer cells, they can also damage some normal cells. Some of the main side effects are: Most side effects are temporary, and there are ways of reducing them and supporting your child through them. Your child’s doctor or nurse will talk to you about side effects. A small number of children may develop late side effects, sometimes many years later. These include possible problems with puberty and fertility, a change in the way the heart works, and a small increase in the risk of developing a second cancer in later life. Your child’s doctor or nurse will talk to you about any possible late side effects. Many children have their treatment as part of a clinical research trial. Trials aim to improve our understanding of the best way to treat an illness, usually by comparing the standard treatment with a new or modified version. Specialist doctors carry out trials for AML. If appropriate, your child’s medical team will talk to you about taking part in a clinical trial and will answer any questions you have. Written information is often provided to help explain things. Taking part in a research trial is completely voluntary, and you’ll be given plenty of time to decide if it’s right for your child. Sometimes, clinical trials are not available for your child’s cancer. This may be because a recent trial has just finished, or because the cancer is very rare. In these cases, you can expect your doctors and nurses to offer treatment which is agreed to be the most appropriate, using guidelines which have been prepared by experts across the country. The Children’s Cancer and Leukaemia Group (CCLG) is an important organisation which helps to produce these guidelines. Many children with AML are cured. If the leukaemia comes back after initial treatment, it usually does so within the first 3 years. Most children with AML grow and develop normally. If you have specific concerns about your child’s condition and treatment, it’s best to discuss them with your child’s doctor, who knows the situation in detail. As a parent, the fact that your child has cancer is one of the worst situations you can be faced with. You may have many emotions, such as fear, guilt, sadness, anger and uncertainty. These are all normal reactions and are part of the process that many parents go through at such a difficult time. Your child may have a variety of powerful emotions throughout their experience of cancer. Further information and advice if your child has cancer Source: Children's Cancer and Leukemia Group Last updated:
09 October 2024   © 2025 NHS 24 – v1.1.1.17852 ","As the leukaemia cells multiply in the bone marrow, the production of normal blood cells is reduced. Children may therefore become tired and lethargic because of anaemia, which is caused by a lack of red blood cells. Children may develop bruises, and bleeding may take longer to stop because of the low number of platelets present in their blood. Sometimes they may suffer from infections because of low numbers of normal white blood cells. A child is likely to feel generally unwell and may complain of aches and pains in the limbs or may have swollen lymph glands. At first, the symptoms are just like those of a viral infection, but when they continue for more than a week or two, the diagnosis usually becomes clear. ","The exact cause of AML is unknown. Research into possible causes of this disease is ongoing. Children with certain genetic disorders, such as Down’s syndrome or Li-Fraumeni syndrome, are known to have a higher risk of developing leukaemia. Brothers and sisters of a child with AML have a slightly increased risk of developing it, although this risk is still small. Other non-cancerous conditions, such as aplastic anaemia or the myelodysplastic syndromes (MDS), may increase a child’s risk of developing AML. AML, like all types of cancer, is not infectious and cannot be passed on to other people. ","A blood test usually shows low numbers of normal white blood cells and the presence of abnormal leukaemia cells. A sample of bone marrow is needed to confirm the diagnosis. The bone marrow sample is also examined to check for any abnormalities in the chromosomes of the leukaemia cells. A test called a lumbar puncture is done to see if the spinal fluid contains any leukaemia cells. A chest X-ray is also done, which will show if there are any enlarged glands in the chest. Other tests may be necessary, depending on your child’s symptoms. These tests will help to identify the precise type of leukaemia, and help doctors to decide on the best treatment. "
Acute myeloid leukaemia: Teenagers and young adults," This section is for teenagers and young adults and is about a type of cancer called acute myeloid leukaemia (AML). The other main type of leukaemia that can affect teenagers and young adults is acute lymphoblastic leukaemia. For information about AML in people of all ages, read our general AML section. Leukaemia is a cancer of the white blood cells. In leukaemia, the process for making new white blood cells gets out of control. Immature white blood cells (called blasts) keep being made and build up in the bone marrow until there isn’t enough room for the bone marrow to make healthy white blood cells, red blood cells and platelets. The body needs these cells to: If you think you might have any of the symptoms of AML, you should go to your GP. They’ll talk to you about your symptoms, examine you and can arrange tests or refer you to see a specialist. Remember that the symptoms can be caused by other things, but it’s important to go and get checked if you are worried.                                                              Source: Macmillan Last updated:
09 October 2024   © 2025 NHS 24 – v1.1.1.17852 ",Many of the symptoms of AML are caused by having fewer than normal healthy blood cells in the body. Symptoms can include: ,It’s not known exactly what causes AML. Research is going on to try to find out. We do know some things might increase the risk of AML: ,
